good_sentence,bad_sentence
"The cat is sleeping on the mat.","The cat are sleeping on the mat."
"She has finished her homework.","She have finished her homework."
"They were running in the park.","They was running in the park."
"The book was written by a famous author.","The book were written by a famous author."
"He doesn't like coffee.","He don't like coffee."
"The students are studying for their exams.","The students is studying for their exams."
"My sister and I went to the store.","My sister and I goes to the store."
"The dog runs very fast.","The dog run very fast."
"She is reading an interesting book.","She are reading an interesting book."
"They have completed the project.","They has completed the project."
