Model,Pair ID,Category,Phenomenon,Good Sentence,Bad Sentence,Good Score,Bad Score,Difference
llama3.1:8b,21,SELECTIONAL_PREFERENCE,solid_object,She kicked the ball.,She kicked the air.,2.00,2.00,0.00
llama3.1:8b,39,SELECTIONAL_PREFERENCE,physical_cutting,She cut the bread.,She cut the silence.,2.00,2.00,0.00
qwen2.5:3b,21,SELECTIONAL_PREFERENCE,solid_object,She kicked the ball.,She kicked the air.,2.50,2.50,0.00
qwen2.5:3b,35,ARG_STRUCTURE,thermal_causation,The sun melted the ice.,The ice melted the sun.,-2.50,-2.50,0.00
Unknown,1,ARG_STRUCTURE,transferability,I gave John the button.,I gave John the wall.,-38.12,-35.52,-2.60
Unknown,3,ARG_STRUCTURE,portability,He put the key in his pocket.,He put the house in his pocket.,-35.41,-34.33,-1.07
Unknown,16,SELECTIONAL_PREFERENCE,physical_breakability,He broke the glass.,He broke the hope.,-30.97,-29.16,-1.81
Unknown,17,ARG_STRUCTURE,animacy_subject_emotion,The baby cried loudly.,The rock cried loudly.,-36.92,-35.60,-1.33
Unknown,18,ARG_STRUCTURE,manipulability,She picked up the pen.,She picked up the sky.,-23.84,-23.69,-0.16
Unknown,26,ARG_STRUCTURE,agent_patient,The child played with toys.,The toys played with child.,-39.92,-37.65,-2.27
Unknown,31,SELECTIONAL_PREFERENCE,measurable_quantity,He measured the distance.,He measured the happiness.,-34.28,-33.21,-1.07
Unknown,36,SELECTIONAL_PREFERENCE,washability,She washed the dishes.,She washed the thoughts.,-33.21,-30.17,-3.04
