Category,Phenomenon,Unknown Correct,llama3.1:8b Correct,qwen2.5:3b Correct,Unknown Correct
ARG_STRUCTURE,agent_patient,1/2,1/1,1/1,1/2
ARG_STRUCTURE,agent_patient_reversal,2/2,1/1,1/1,2/2
ARG_STRUCTURE,animacy_subject,2/2,1/1,1/1,2/2
ARG_STRUCTURE,animacy_subject_emotion,1/2,1/1,1/1,1/2
ARG_STRUCTURE,causative_direction,2/2,1/1,1/1,2/2
ARG_STRUCTURE,cognitive_agent,2/2,1/1,1/1,2/2
ARG_STRUCTURE,combustion_direction,2/2,1/1,1/1,2/2
ARG_STRUCTURE,construction_agent,2/2,1/1,1/1,2/2
ARG_STRUCTURE,creation_reversal,2/2,1/1,1/1,2/2
ARG_STRUCTURE,discovery_direction,2/2,1/1,1/1,2/2
ARG_STRUCTURE,edibility,2/2,1/1,1/1,2/2
ARG_STRUCTURE,evaluation_direction,2/2,1/1,1/1,2/2
ARG_STRUCTURE,force_direction,2/2,1/1,1/1,2/2
ARG_STRUCTURE,harvesting_agent,2/2,1/1,1/1,2/2
ARG_STRUCTURE,instruction_direction,2/2,1/1,1/1,2/2
ARG_STRUCTURE,manipulability,1/2,1/1,1/1,1/2
ARG_STRUCTURE,portability,1/2,1/1,1/1,1/2
ARG_STRUCTURE,problem_solver,2/2,1/1,1/1,2/2
ARG_STRUCTURE,professional_role,2/2,1/1,1/1,2/2
ARG_STRUCTURE,text_creation,2/2,1/1,1/1,2/2
ARG_STRUCTURE,thermal_causation,2/2,1/1,0/1,2/2
ARG_STRUCTURE,transferability,1/2,1/1,1/1,1/2
ARG_STRUCTURE,vehicle_control,2/2,1/1,1/1,2/2
ARG_STRUCTURE,wetting_direction,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,abstractness,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,auditory_object,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,climbability,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,concreteness,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,foldability,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,groomability,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,information_object,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,liquid_requirement,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,literal_planting,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,lockability,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,measurable_quantity,1/2,1/1,1/1,1/2
SELECTIONAL_PREFERENCE,olfactory_object,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,physical_action,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,physical_breakability,1/2,1/1,1/1,1/2
SELECTIONAL_PREFERENCE,physical_catching,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,physical_closure,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,physical_cutting,2/2,0/1,1/1,2/2
SELECTIONAL_PREFERENCE,physical_entity,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,physical_lifting,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,physical_repair,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,pourability,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,sharpenability,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,solid_object,2/2,0/1,0/1,2/2
SELECTIONAL_PREFERENCE,verb_object_match,2/2,1/1,1/1,2/2
SELECTIONAL_PREFERENCE,washability,1/2,1/1,1/1,1/2
SELECTIONAL_PREFERENCE,wearability,2/2,1/1,1/1,2/2
